ABCA13	3.81156082442971	3.97985826191872	4.11490515940991	4.77089195631496	7.30355833829496	4.92272207238946	6.14121599507214	6.17343844266214	4.84926151762133	76.0063350661167	-4.66400018279321	1.15541279942371	-4.03665268821628	5.42192431879193e-05	0.00361592837421594
ACSL5	1.0465539885494	1.07180503706186	1.05292633150793	2.87615274206172	1.82084471918766	2.44258675998556	3.12285069932557	2.06885931009408	1.94634879054285	5.84386808741717	-5.16711680670185	1.60133099212706	-3.22676375596673	0.00125198783250384	0.0255968092625302
ADAMTSL4	1.45798267255302	1.48556039094825	1.46494707746242	3.00219631879175	3.09287560933896	2.18495821472118	3.72689216923638	2.87379540894054	3.42418369642712	9.03479943740406	-5.80145532986337	1.5404741842436	-3.76601918370479	0.00016587105289373	0.00756732252617503
ADD1	4.32061702064297	4.286580372044	4.45795441253442	5.58080870777043	5.51741104055606	5.44674377267233	5.21764401356642	5.15202600726542	5.08708188180025	37.1048612046997	-2.0756304017792	0.611586795517796	-3.39384436843814	0.000689188471165923	0.0186352935295523
AGAP1	1.13768587562264	1.1696334274469	1.14579668505261	1.89185863036216	3.51706089012618	2.32815910844462	1.89461360919161	4.10113996137002	2.39410390105662	9.4250452044524	-5.86376849351125	1.75384793784056	-3.34337337177081	0.000827664577935726	0.0204921772006978
AGL	0.903674812829191	0.928510820115531	0.909957095351397	2.86668781937142	2.44098413661631	1.84972281079969	1.94146629182026	1.94780047474946	1.82506751056685	4.7331346084472	-4.86931565906038	1.57757242686917	-3.08658770660943	0.00202468206748157	0.0312836214186062
AK4	1.01658880272457	1.04988220060362	1.02505609731785	2.63679153692309	2.6457622874387	2.52470645665528	2.25112789421862	4.23471808620315	0.944344654923855	9.39293186123636	-5.85608974118611	1.95250656900678	-2.99926762559628	0.00270629474394247	0.0380920253342587
ASB3	2.98489043750763	2.40206056073162	2.64347641570285	4.30224054341392	5.44540291225899	3.26612902712646	3.9610268486615	5.22257857304608	3.49236169275461	25.7835597945767	-4.48301190955529	1.32088494400087	-3.3939458011964	0.000688933258264026	0.0186352935295523
ASTN2	5.78503103912188	5.41415671997686	5.61835928279482	7.15393444109786	8.74683274152169	6.66413279999731	6.35145653694125	8.0803537126298	6.32986209622938	212.568927252255	-4.10559640400709	1.05430339300489	-3.894131832684	9.85510452400884e-05	0.00547357832346978
ATM	1.96230921822652	1.98812800236529	1.96880209575207	4.01919005342507	3.15838545146947	3.73110598178834	3.60494024224562	4.25718766694843	3.97659257055029	14.2658565391778	-6.45861424455862	1.44585629785601	-4.46698212964579	7.93307537678052e-06	0.00116446213566314
ATP11A	5.22441623009772	5.49280859409095	5.364895375607	8.24213861313608	5.03754084650976	7.89707141075096	8.31626457814602	6.18475824172544	7.82316237707843	235.518163126768	-5.07543251189091	1.25777756626739	-4.03523854138447	5.45468513871991e-05	0.00361592837421594
ATXN3	2.77249533504576	3.01819759525293	2.79125272881851	3.85401042837402	4.88472515243945	3.78680234764326	3.56194440818145	4.43803868373518	3.53775171759443	17.0499782776256	-2.9525791598179	0.990232893946434	-2.98170175709959	0.00286651098792052	0.0384473847484269
BCL2L11	6.7635981381206	6.49700614552077	6.46889906306599	7.96107113023991	10.4779474487044	7.5610748728178	9.18314881548193	9.53466680353773	7.14309195866033	716.685697112434	-5.78800581731109	1.1837392464669	-4.88959526735853	1.01043512780249e-06	0.000233061683025223
BEAN1	1.34801726982549	1.373310379768	1.35438473811021	2.90666159473642	2.60860823965281	3.71585534304839	2.41008846480641	2.61335783502826	2.76674358807825	7.81647726654356	-5.59450977421888	1.54272918940734	-3.62637189510109	0.00028743131265204	0.0113590643749989
BIRC2	0.916421032223654	0.945187022316599	0.923720379989969	2.42016556484205	2.39994783170325	2.31275721194132	0.878405719610073	2.24130774525492	3.36016142580527	6.14306248524205	-5.24879486195323	1.83467221100789	-2.86088971668119	0.00422453977980449	0.0482301624861013
BLOC1S6	4.44078762642634	4.76373522227065	4.74204703318104	5.22121539465735	7.30267588800575	5.12308673871061	5.61929858175933	6.70013154645166	5.64659889305776	78.6380877200453	-3.22078795705961	1.01399540849384	-3.17633386707705	0.00149149190288148	0.0269455328082542
C12orf45	6.81476698712044	6.62117905182579	6.73993256547822	8.59643076864509	9.00894447833335	7.26288392607761	7.96111990452732	9.01936460229347	7.1874497104143	342.430679522827	-3.44529791921904	0.902206446559643	-3.81874673181165	0.000134131385482582	0.00641023249224896
C12orf65	3.74536286456265	4.37618680915399	4.24254935310166	5.8182127400259	6.88734893051779	4.94496529488019	5.92559234480887	6.86890990210965	4.79870477258313	75.8470503430404	-4.46894364366513	1.18830505322692	-3.76077138738863	0.000169390187933845	0.00756732252617503
C15orf40	1.31112095735776	1.34255408381203	1.31908903632241	2.54733602170002	3.05150852904795	1.95083319661898	2.96111555908452	4.45981094164242	2.67392633760826	10.8144352674282	-6.05906432781038	1.71258951719443	-3.53795481461102	0.000403239057607685	0.0145378291821718
C1S	3.5827925891477	2.87310315919511	2.85726516262276	4.88976127064177	5.08466237202492	4.74821150866865	4.38318032209606	6.60409040655322	3.94667782984157	44.2692222996997	-4.96967394192728	1.41504450883459	-3.51202659061249	0.000444703502833076	0.0148718798079236
C6orf48	13.3200460557868	14.1918568260846	13.4390582245791	16.2565159201808	13.1997327397445	15.7124991278276	16.7483567449345	14.6415771937408	15.8550910152236	65900.3598778425	-4.2366584325013	1.29550816395651	-3.2702676450625	0.00107445771585547	0.0237420495277742
