Gene	NC_1	NC_2	NC_3	BeforeSurgery_1	BeforeSurgery_2	BeforeSurgery_3	AfterSurgery_1	AfterSurgery_2	AfterSurgery_3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AAAS	-0.657556851512085	-0.612972236623227	0.661478379448473	-0.677598524221935	0.351906065299962	0.366162451276632	-0.677256602183566	-0.676565781415623	-0.689572786663013	1.27698968786688	0.673949302038725	2.85990607832835	0.235654347933222	0.813700897297791	NA
AADACL3	-0.319845119264898	-0.299435744260884	-0.314645935865127	0.40225137901702	1.48235297102629	0.0490150243393898	-0.347138576416577	1.2428608685291	-0.364371401619317	2.0066067633338	-3.63787654200128	2.39360584154738	-1.51983107613471	0.128553436601019	NA
AAED1	-0.918337080990149	-0.876967146000433	-0.907499479824563	-0.0891331942217259	-0.978278883573521	-0.968834082097046	-0.962611239983405	-0.081154309992264	-0.378658643278991	0.799486294690395	-2.29403843237312	3.04952432316185	-0.752261070669076	0.451894073890194	NA
AAK1	0.732128979415192	0.754162700215626	0.737693362013658	1.77266753662215	1.82209415114737	1.55360524659332	2.41163674172733	1.90297758277807	1.53095514498946	3.6611249010633	-4.49349902501783	1.5727857566309	-2.85703186595703	0.00427622904858888	NA
AAR2	-0.677367867258311	-0.633478166309351	-0.669419363137301	0.203074384855564	-0.181541895103231	0.559234083882514	-0.289348265734606	-0.693413048479092	-0.704298506189378	1.09353250575599	-2.75683242171963	2.47695926390663	-1.11299061792868	0.265712458939146	NA
AATF	-0.659657157135864	-0.620355932727683	-0.654237221653616	-0.297352338981193	-0.0219622616461812	0.399892213991317	-0.295845513412052	-0.29280340287364	-0.682819487677235	0.970971341806473	-2.59155530771868	2.20639189374242	-1.17456709076417	0.240167955907813	NA
ABAT	3.88038048760808	2.43790467819369	3.17663884182567	2.23790076114507	3.11328138650882	2.68344989858403	2.23991336445095	4.68859638769112	2.55875718013138	13.0354548804672	-0.0719808595746429	1.29787823183101	-0.0554604105449049	0.955771669189664	0.977747781745442
ABCA12	-1.13680132671864	-1.09871859561765	-1.12682486794317	-0.130273592426957	-0.357149852553715	-1.21311075263896	-1.19309441641458	-1.19097730527833	-1.21460147419512	0.692657667926446	-2.10100664281996	3.474599074384	-0.604675992205644	0.545394303009635	NA
ABCA13	3.81156082442971	3.97985826191872	4.11490515940991	4.77089195631496	7.30355833829496	4.92272207238946	6.14121599507214	6.17343844266214	4.84926151762133	76.0063350661167	-4.66400018279321	1.15541279942371	-4.03665268821628	5.42192431879193e-05	0.00361592837421594
ABCA2	-1.09712662052138	-1.05060089714828	-1.08493836753081	-1.15392820696782	-0.247583071702904	0.302638008278702	-1.15351029624967	-1.15266887607313	-1.16481124037033	0.996869785906342	-2.62979629582748	3.4622812674556	-0.759555938030446	0.447520065400389	NA
ABCA5	-1.1497634114875	-1.09999472733951	-1.13672560638904	-0.268141122140887	0.161811353339743	-1.18386694490357	-1.17412854652964	-1.17326296779029	-1.18590420501127	1.14462324476679	-2.83223869488511	3.4586282946386	-0.818890743268222	0.412848751720951	NA
ABCA7	2.38090933802759	3.07134623507945	2.40319951360799	2.92126874490282	2.77779444305222	2.82652705918467	2.60014364467981	2.60599105574844	2.49414513550954	6.68188038788667	-0.10673586174464	0.846296719349779	-0.126121086498653	0.89963607613761	0.955921476971452
ABCA9	1.4849891198241	0.718565843929983	0.692826251280509	0.636653067564246	3.87068729678167	1.2656534813965	1.3409887893257	3.06578457981477	1.45269041745865	7.81707276823748	-3.75895055374476	1.97248398778546	-1.90569382414353	0.0566899410376725	0.192558394764326
ABCB5	-0.238953729032604	-0.217356306063122	-0.233450063929145	1.19304957112823	-0.304820851276505	1.71575379467113	0.71553119132607	0.184579549168774	-0.286149092416476	2.20860149057391	-3.76700563791989	2.38975352811509	-1.57631554618568	0.114953100619356	NA
ABCB8	0.271606899093821	-0.96445348942159	-0.980747167547785	-1.01739802896465	-1.04667938174619	-1.02848766200838	-1.01700043197052	0.597918432868692	-1.03152802078649	1.80716744384099	-0.199499393837576	3.33470459789982	-0.0598252072951889	0.952294849011471	NA
ABCB9	-0.13050628417294	-0.104647408996097	-0.123898587023588	-0.166056313208493	2.04304453930094	-0.183094160213645	-0.165442351570503	1.5924985613129	1.43642335634821	2.92157545928646	-4.17875328547438	2.65673222473634	-1.57289215923486	0.1157437909497	NA
ABCC1	3.18465077736974	2.35724960354195	2.70271180867031	3.20167282709929	1.44400360088436	2.50402372683953	2.50025833718066	2.27306039297686	2.38648574229452	6.8279436905826	0.643834933146467	1.15835166543941	0.555819922702173	0.578333964603797	0.773244175185949
ABCC10	0.111401487864159	1.23274815446885	0.910988967201392	0.965700566639166	0.0496138995185234	1.84655444128737	0.0840067178914458	0.0849664297243128	0.86632571268392	2.42196376446947	-0.104599003719803	2.04160070738351	-0.051233820277157	0.959139202538848	NA
ABCC2	-0.242515452997583	-0.224917683196434	-0.238049020299922	-0.266174575975497	0.833053584253116	0.358935663480282	0.822650001788434	1.22586672730722	-0.28028429565332	1.75029375205764	-3.43248991750592	2.30802030148231	-1.48720092076375	0.136961752961522	NA
ABCC3	0.179101183266479	0.202815651077983	1.44684545109735	0.840685240763688	2.30722046110421	0.979340943049883	1.06233139788162	0.148663647506122	0.127726953209989	2.95744885850553	-1.07155339210711	2.0530311836424	-0.521937221725981	0.601714041248279	NA
ABCC4	-1.20058981451786	-1.16474206978685	-1.19119885076176	-0.391212805601083	-1.28809692569591	-1.28025358094541	-1.2535791945124	-0.383236492952461	-1.2815936681179	0.626927439967901	-1.93875329043338	3.47936287863808	-0.557215029894284	0.577380521957816	NA
ABCC6	-0.868144697478976	-0.825595414200057	-0.856998144742717	-0.906283765996571	-0.922374083879929	-0.106961844180443	-0.0299776179813629	-0.905595552526754	-0.127535034412183	0.841143524068428	-2.37604394960942	3.00260436909868	-0.791327680084159	0.428752799840437	NA
ABCC9	0.504527319529677	0.527796309900259	0.955142463430117	2.2054077039542	2.08505285879352	0.793778252117458	1.10413141774587	1.86471168126766	0.780988736164359	3.3772254186665	-3.35929884831649	1.74875847322889	-1.9209621567202	0.0547364785937465	NA
ABCD3	0.846367288988584	-0.0810667901694195	-0.091918702517545	-0.114793899440906	0.767722885060215	0.626674844160149	0.244958052567236	0.70710233245079	0.189816807659468	1.53118804959579	-0.438767809926993	1.79814255679668	-0.244011693215604	0.807221763732464	NA
ABCE1	-0.336700759787266	0.166413756469822	-0.333387232189793	-0.354079691874634	0.283141042949178	0.214451896764304	0.0160121821371093	0.797140369092698	-0.0392005132060214	1.26777803490122	-1.80568585855763	1.9657144028933	-0.918590134914752	0.358309993872634	NA
ABCF1	-0.430279773232659	-0.416331166955313	-0.426748623547908	0.596761469092085	0.610580248209969	-0.457540455927809	-0.44856016655515	0.220508242483441	0.328329933572149	1.30095429550199	-3.01237600603312	2.34715456731014	-1.28341611923978	0.199346329543275	NA
ABCG1	-0.572504871986463	-0.545753925642963	-0.566487504723691	-0.106452155757299	1.55002565414296	0.78184086651219	-0.604904187121278	-0.603737272725313	-0.626118032269252	3.14350117888943	-4.28761225026644	2.80571483723437	-1.52817107190152	0.126470069148089	NA
ABHD12B	0.403952640603974	0.428676940647399	1.19413183677907	1.41931645753017	2.04714691248423	0.354897446574575	0.371178299407177	2.38944640614571	1.30787339689524	3.49123730815748	-2.47763908556072	2.0266475520354	-1.22253081601307	0.221506957791002	NA
